RScoreDefense	sdGroundIntakes	driverAbility	disabledPercentage	numRPs	avgBallControl	avgHighShotsTele	avgGroundIntakes	numAutoPoints	avgShotsBlocked	incapacitatedPercentage	siegeAbility	predictedSeed	avgLowShotsAuto	RScoreTorque	sdBallsKnockedOffMidlineAuto	sdHighShotsAuto	lowShotAccuracyTele	highShotAccuracyTele	highShotAccuracyAuto	secondPickAbility	RScoreBallControl	sdSuccessfulDefenseCrossesAuto	challengePercentage	avgEvasion	RScoreSpeed	sdLowShotsAuto	avgTorque	reachPercentage	avgFailedTimesCrossedDefensesAuto	avgDefense	avgSuccessfulTimesCrossedDefensesAuto	avgSpeed	avgBallsKnockedOffMidlineAuto	avgMidlineBallsIntakedAuto	avgHighShotsAuto	avgFailedTimesCrossedDefensesTele	citrusDPR	sdHighShotsTele	RScoreEvasion	predictedNumRPs	actualSeed	avgLowShotsTele	siegePower	siegeConsistency	sdLowShotsTele	sdMidlineBallsIntakedAuto	overallSecondPickAbility	firstPickAbility	sdFailedDefenseCrossesTele	numScaleAndChallengePoints	disfunctionalPercentage	sdFailedDefenseCrossesAuto	sdSuccessfulDefenseCrossesTele	avgSuccessfulTimesCrossedDefensesTele	scalePercentage	sdShotsBlocked	lowShotAccuracyAuto	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1	-1	-1.0	-1.0	-1.0	{1678: -1.0}	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1.0	-1.0	-1.0	-1	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1.0	-1.0	-1.0	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1.0	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	-1	-1.0	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1, 'cdf': -1}, 'c': {'sp': -1, 'db': -1}, 'b': {'mt': -1, 'rp': -1}, 'e': {'lb': -1}, 'd': {'rt': -1, 'rw': -1}}	{'a': {'pc': -1.0, 'cdf': -1.0}, 'c': {'sp': -1.0, 'db': -1.0}, 'b': {'mt': -1.0, 'rp': -1.0}, 'e': {'lb': -1.0}, 'd': {'rt': -1.0, 'rw': -1.0}}	-1.0	-1	-1.0	
